,time,frame,keypoint_name,x,y,z
0,0.0,0,NOSE,-0.006792351603507996,0.09677524864673615,-0.2053068429231644
1,0.0,0,LEFT_EYE_INNER,0.0015504509210586548,0.11752483248710635,-0.19233222305774691
2,0.0,0,LEFT_EYE,0.0058517009019851685,0.11681266129016885,-0.1923922151327133
3,0.0,0,LEFT_EYE_OUTER,0.009920313954353333,0.11599160730838784,-0.19248040020465848
4,0.0,0,RIGHT_EYE_INNER,-0.013329669833183289,0.12126724421978005,-0.18988920748233798
5,0.0,0,RIGHT_EYE,-0.01737247407436371,0.12237821519374853,-0.18994651734828952
6,0.0,0,RIGHT_EYE_OUTER,-0.019983217120170593,0.12307558953762054,-0.1899734288454056
7,0.0,0,LEFT_EAR,0.019009843468666077,0.10916988551616674,-0.08682145178318026
8,0.0,0,RIGHT_EAR,-0.022887930274009705,0.11457115411758423,-0.07798753678798678
9,0.0,0,MOUTH_LEFT,0.0022918134927749634,0.07470805943012243,-0.16391305625438687
10,0.0,0,MOUTH_RIGHT,-0.014706835150718689,0.07581005990505224,-0.16152034699916837
11,0.0,0,LEFT_SHOULDER,0.05541647970676422,-0.0006424635648727417,-0.017854958772659302
12,0.0,0,RIGHT_SHOULDER,-0.05541647970676428,0.0006424635648727417,0.017854958772659302
13,0.0,0,LEFT_ELBOW,0.0828971415758133,-0.14103548228740692,-0.05035600066185
14,0.0,0,RIGHT_ELBOW,-0.06601713597774506,-0.12736399471759796,-0.006844356656074496
15,0.0,0,LEFT_WRIST,0.04815937578678131,-0.16408292949199677,-0.212313249707222
16,0.0,0,RIGHT_WRIST,-0.07435779273509985,-0.1704002469778061,-0.22177220880985257
17,0.0,0,LEFT_PINKY,0.03815676271915436,-0.18525628745555878,-0.25857017934322357
18,0.0,0,RIGHT_PINKY,-0.08456937968730927,-0.18779931962490082,-0.266351655125618
19,0.0,0,LEFT_INDEX,0.034677937626838684,-0.16542141139507294,-0.2642328590154648
20,0.0,0,RIGHT_INDEX,-0.08138655126094818,-0.17521683871746063,-0.2877589613199234
21,0.0,0,LEFT_THUMB,0.03700239956378937,-0.1579858511686325,-0.21629239618778232
22,0.0,0,RIGHT_THUMB,-0.07497303187847137,-0.17069993913173676,-0.23473344743251798
23,0.0,0,LEFT_HIP,0.025537028908729553,-0.2252572625875473,0.1576044503599405
24,0.0,0,RIGHT_HIP,-0.028751537203788757,-0.22470872104167938,0.1877603083848952
25,0.0,0,LEFT_KNEE,0.02677251398563385,-0.40714608132839203,0.1655174633488059
26,0.0,0,RIGHT_KNEE,-0.034023866057395935,-0.402641162276268,0.2088769450783729
27,0.0,0,LEFT_ANKLE,0.031592682003974915,-0.5258052796125412,0.4090624302625655
28,0.0,0,RIGHT_ANKLE,-0.037959083914756775,-0.5274507850408554,0.43839944899082184
29,0.0,0,LEFT_HEEL,0.025363638997077942,-0.5359434336423874,0.42761020362377156
30,0.0,0,RIGHT_HEEL,-0.031554803252220154,-0.5374465435743332,0.45644302666187286
31,0.0,0,LEFT_FOOT_INDEX,0.03603900969028473,-0.5866708606481552,0.3332137912511825
32,0.0,0,RIGHT_FOOT_INDEX,-0.05265139043331146,-0.5969143360853194,0.3489646613597869
33,0.0344827586206896,1,NOSE,-0.006726786494255066,0.09675377607345581,-0.21109648048877716
34,0.0344827586206896,1,LEFT_EYE_INNER,0.001762881875038147,0.11759684979915622,-0.19751258194446564
35,0.0344827586206896,1,LEFT_EYE,0.006262198090553284,0.11696057021617892,-0.19757245481014252
36,0.0344827586206896,1,LEFT_EYE_OUTER,0.010345473885536194,0.11617989838123322,-0.19764290750026703
37,0.0344827586206896,1,RIGHT_EYE_INNER,-0.013328656554222107,0.12120936810970312,-0.19512902200222015
38,0.0344827586206896,1,RIGHT_EYE,-0.0172758549451828,0.1223035454750061,-0.19519121944904322
39,0.0344827586206896,1,RIGHT_EYE_OUTER,-0.020282253623008728,0.12300483882427221,-0.19520817697048182
40,0.0344827586206896,1,LEFT_EAR,0.019223228096961975,0.10919862985610962,-0.08922536671161652
41,0.0344827586206896,1,RIGHT_EAR,-0.02286367118358612,0.11472237110137942,-0.08054876327514643
42,0.0344827586206896,1,MOUTH_LEFT,0.002504304051399231,0.07485359907150269,-0.16891027987003326
43,0.0344827586206896,1,MOUTH_RIGHT,-0.014809414744377136,0.07584571838378912,-0.16651831567287445
44,0.0344827586206896,1,LEFT_SHOULDER,0.05520541965961456,-0.0005594491958618164,-0.015875771641731234
45,0.0344827586206896,1,RIGHT_SHOULDER,-0.05520541965961456,0.0005594491958618164,0.015875771641731262
46,0.0344827586206896,1,LEFT_ELBOW,0.08311356604099274,-0.13975661993026733,-0.05106739699840543
47,0.0344827586206896,1,RIGHT_ELBOW,-0.061735525727272034,-0.13324159383773798,-0.01327396929264063
48,0.0344827586206896,1,LEFT_WRIST,0.049048081040382385,-0.16360008716583252,-0.23682643473148346
49,0.0344827586206896,1,RIGHT_WRIST,-0.07414261996746063,-0.16830319166183472,-0.26190806925296783
50,0.0344827586206896,1,LEFT_PINKY,0.039123669266700745,-0.18464523553848267,-0.28791616857051844
51,0.0344827586206896,1,RIGHT_PINKY,-0.08327440917491918,-0.18549925088882446,-0.31668709218502045
52,0.0344827586206896,1,LEFT_INDEX,0.03634895384311676,-0.16389697790145874,-0.2992520481348037
53,0.0344827586206896,1,RIGHT_INDEX,-0.08027632534503937,-0.17193090915679932,-0.3383471816778183
54,0.0344827586206896,1,LEFT_THUMB,0.03903736174106598,-0.15589505434036255,-0.24345709383487701
55,0.0344827586206896,1,RIGHT_THUMB,-0.07456652820110327,-0.16678303480148315,-0.27637816965579987
56,0.0344827586206896,1,LEFT_HIP,0.026491954922676086,-0.23245710134506226,0.15628388710319996
57,0.0344827586206896,1,RIGHT_HIP,-0.029774829745292664,-0.23332148790359497,0.17915761191397897
58,0.0344827586206896,1,LEFT_KNEE,0.041446223855018616,-0.4123166799545288,0.15722596459090715
59,0.0344827586206896,1,RIGHT_KNEE,-0.03397832810878754,-0.40926456451416016,0.20507833734154696
60,0.0344827586206896,1,LEFT_ANKLE,0.042678073048591614,-0.532132089138031,0.41870166361331934
61,0.0344827586206896,1,RIGHT_ANKLE,-0.03794865310192108,-0.527385413646698,0.46406055986881256
62,0.0344827586206896,1,LEFT_HEEL,0.037095680832862854,-0.5409231781959534,0.43987737596035004
63,0.0344827586206896,1,RIGHT_HEEL,-0.03180555999279022,-0.5372118353843689,0.48534218966960907
64,0.0344827586206896,1,LEFT_FOOT_INDEX,0.049257174134254456,-0.6054218411445618,0.3419963717460631
65,0.0344827586206896,1,RIGHT_FOOT_INDEX,-0.052798107266426086,-0.5948215126991272,0.3793078660964966
66,0.0689655172413793,2,NOSE,-0.00671839714050293,0.0970220416784287,-0.21179655194282526
67,0.0689655172413793,2,LEFT_EYE_INNER,0.0018437504768371582,0.11799836158752441,-0.19742348790168757
68,0.0689655172413793,2,LEFT_EYE,0.006588637828826904,0.11742262542247772,-0.1974782645702362
69,0.0689655172413793,2,LEFT_EYE_OUTER,0.010703086853027344,0.11669069528579712,-0.19748544692993159
70,0.0689655172413793,2,RIGHT_EYE_INNER,-0.013384699821472168,0.12120597064495092,-0.1948968768119812
71,0.0689655172413793,2,RIGHT_EYE,-0.01729816198348999,0.12225192785263062,-0.19496086239814758
72,0.0689655172413793,2,RIGHT_EYE_OUTER,-0.020450115203857422,0.12292972207069403,-0.19496262073516846
73,0.0689655172413793,2,LEFT_EAR,0.01931929588317871,0.10947836935520172,-0.08740194141864768
74,0.0689655172413793,2,RIGHT_EAR,-0.022909164428710938,0.11520068347454071,-0.07799096405506128
75,0.0689655172413793,2,MOUTH_LEFT,0.002597987651824951,0.07536081969738012,-0.1693986058235168
76,0.0689655172413793,2,MOUTH_RIGHT,-0.0148848295211792,0.07603053748607641,-0.16671240329742426
77,0.0689655172413793,2,LEFT_SHOULDER,0.055172085762023926,-0.000578507781028692,-0.01588532328605649
78,0.0689655172413793,2,RIGHT_SHOULDER,-0.05517208576202398,0.0005785077810287476,0.01588532328605652
79,0.0689655172413793,2,LEFT_ELBOW,0.08332109451293945,-0.13991187512874603,-0.05183787643909449
80,0.0689655172413793,2,RIGHT_ELBOW,-0.06084373593330389,-0.13598217070102686,-0.01800569891929618
81,0.0689655172413793,2,LEFT_WRIST,0.05017465353012085,-0.16336505115032196,-0.24338075518608088
82,0.0689655172413793,2,RIGHT_WRIST,-0.074137032032013,-0.16749171912670135,-0.2659973800182342
