TimeStamp (Seconds),wrist_right x,wrist_right y,wrist_left x,wrist_left y
0.0,36.899999999945976,3401.0999999999967,1689.3000000000598,3384.9000000000215
1.0,6878.700000000026,6955.199999999957,3288.5999999998944,3383.099999999962
2.0,8736.299999999994,8841.600000000011,40.49999999986085,3443.3999999999687
3.0,14027.399999999909,10500.300000000027,39.600000000086766,3398.4000000000096
4.0,8757.900000000098,10538.100000000002,35.09999999988622,1759.4999999999857
5.0,5339.700000000095,6946.200000000067,26.999999999975444,1673.0999999999824
6.0,22868.09999999999,12200.400000000036,1648.7999999999943,3384.0000000000427
7.0,983001.6000000001,281209.50000000006,3421.800000000019,3369.599999999974
8.0,1057095.0,184284.81000000008,3301.2000000000057,1690.1999999999873
9.0,17793.89999999996,10448.100000000033,28.800000000035197,3355.200000000008
10.0,29909.69999999995,19454.399999999936,3290.4000000000565,3361.499999999961
11.0,15699.600000000015,10527.300000000003,3334.500000000037,3386.699999999979
12.0,19419.3,10358.100000000064,1683.8999999999828,3339.8999999999605
13.0,5404.499999999996,8807.400000000001,3280.4999999999836,1710.0000000000307
14.0,10585.799999999846,7118.099999999993,1676.6999999999484,3321.899999999977
15.0,951311.6999999998,350078.39999999997,1654.2000000000712,3358.799999999974
16.0,8838.000000000045,8564.130000000136,3282.299999999941,125.99999999998772
17.0,1058783.4,131419.70999999996,3345.299999999986,3379.499999999996
18.0,21087.899999999932,12159.900000000021,3325.4999999999427,1711.7999999999881
19.0,8815.500000000065,8731.799999999947,31.50000000007367,3319.1999999999894
