TimeStamp (Seconds),wrist_right x,wrist_right y,wrist_left x,wrist_left y
0.0,3527.100000000036,3516.300000000035,1630.8000000000106,3499.199999999928
1.0,5417.999999999984,6930.899999999969,53.10000000007449,3437.099999999964
2.0,12176.999999999975,10404.899999999981,1662.299999999982,3419.099999999878
3.0,10596.6,5298.300000000052,66.60000000006221,3434.40000000013
4.0,12393.900000000065,8776.80000000006,1658.7000000000671,3415.499999999963
5.0,10605.600000000044,10619.99999999996,3302.099999999882,3401.9999999999754
6.0,7044.299999999947,7086.600000000072,44.10000000008267,3475.7999999999697
7.0,5159.7000000000035,5310.000000000031,10548.899999999901,12273.300000000052
8.0,3323.700000000036,3371.399999999983,12374.100000000124,12315.599999999973
9.0,55.79999999995948,85.4999999999734,6965.1000000000295,6980.399999999974
10.0,861426.8999999999,916072.2000000001,8776.799999999957,12203.100000000075
11.0,863180.1,917706.6000000001,6956.099999999935,8730.00000000004
12.0,1644.2999999999984,1736.1000000000274,5267.699999999957,8656.199999999995
13.0,3301.1999999999543,54.000000000002046,8770.500000000004,6921.899999999977
14.0,1715.4000000000053,3308.399999999938,5188.50000000009,7065.9
15.0,1663.2000000000119,3329.1000000000113,5288.4000000000815,3414.599999999933
16.0,1693.8000000000557,3355.200000000008,8723.700000000088,5321.699999999959
17.0,3390.2999999999965,3386.7000000000303,10458.899999999983,10476.899999999916
18.0,3444.2999999999984,3380.3999999999746,10634.400000000027,10517.400000000083
19.0,3439.800000000054,1709.0999999999497,8771.400000000085,5397.299999999961
20.0,19391.400000000045,14102.099999999933,15838.19999999996,12195.000000000011
21.0,14060.699999999992,7079.399999999987,12147.300000000065,7007.3999999999505
22.0,3445.200000000028,3481.2000000000467,10580.399999999974,3549.599999999964
23.0,15786.899999999947,7018.200000000053,5339.699999999993,3468.5999999999867
24.0,12307.500000000011,10555.199999999957,3384.900000000073,3376.8000000000598
25.0,8710.199999999997,10561.499999999962,6963.300000000072,3464.999999999969
26.0,3433.499999999947,3425.400000000036,10494.000000000073,7133.399999999938
27.0,8630.099999999948,10507.500000000062,7054.200000000072,5286.59999999997
28.0,8713.800000000014,3552.3000000000025,5211.899999999946,5198.400000000061
